"source_id","record_id","title","publication_date","category","publisher","official_url","catalog_url"
"national_rules_database","https://www.gov.cn/zhengce/202603/content_7060228.htm","欠税公告办法","","部门规章","['国家税务总局']","https://www.gov.cn/zhengce/202603/content_7060228.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202601/content_7053801.htm","税务人员税收业务违法行为处分规定","","部门规章","['国家税务总局']","https://www.gov.cn/zhengce/202601/content_7053801.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202506/content_7030033.htm","农民专业合作社年度报告公示办法","","部门规章","['国家市场监督管理总局']","https://www.gov.cn/zhengce/202506/content_7030033.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202512/content_7050596.htm","市场监督管理信用修复管理办法","","部门规章","['国家市场监督管理总局']","https://www.gov.cn/zhengce/202512/content_7050596.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202512/content_7050595.htm","个体工商户年度报告办法","","部门规章","['国家市场监督管理总局']","https://www.gov.cn/zhengce/202512/content_7050595.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202512/content_7050266.htm","市场监督管理行政处罚信息公示规定","","部门规章","['国家市场监督管理总局']","https://www.gov.cn/zhengce/202512/content_7050266.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202512/content_7052027.htm","民用航空安全管理规定","","部门规章","['交通运输部']","https://www.gov.cn/zhengce/202512/content_7052027.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202512/content_7050250.htm","运输机场运行安全管理规定","","部门规章","['交通运输部']","https://www.gov.cn/zhengce/202512/content_7050250.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202606/content_7072629.htm","金融机构客户尽职调查和客户身份资料及交易记录保存管理办法","","部门规章","['中国人民银行']","https://www.gov.cn/zhengce/202606/content_7072629.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202511/content_7049196.htm","石油天然气基础设施规划建设与运营管理办法","","部门规章","['国家发展和改革委员会']","https://www.gov.cn/zhengce/202511/content_7049196.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202511/content_7049194.htm","水库降等与报废管理办法","","部门规章","['水利部']","https://www.gov.cn/zhengce/202511/content_7049194.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
"national_rules_database","https://www.gov.cn/zhengce/202510/content_7045952.htm","个人信息出境认证办法","","部门规章","['国家互联网信息办公室']","https://www.gov.cn/zhengce/202510/content_7045952.htm","https://www.gov.cn/zhengce/xxgk/gjgzk/index.htm"
