agency_code_suffix,agency_name,status,note,source_standard
2930,中国井冈山干部学院,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2940,中国延安干部学院,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
2950,中共中央党史和文献研究院,现行,出自 GB/T4657—2021 表1,GB/T 47277—2026 附录B表B.1
3000,国务院,现行,地方人民政府复用此码,GB/T 47277—2026 附录B表B.1
3000,国务院反垄断委员会,历史,国务院设立的议事协调机构；证据 antimonopoly_committee_agency_code_evidence.md SHA-256 3f598d377b062bb08867d94b7eea19c99c94232713fe40e520460a484cbe86b7,GB/T 47229.2—2026 A.2.3(a)及表B.3
3000,国务院反垄断反不正当竞争委员会,现行,国务院设立的议事协调机构；证据 antimonopoly_committee_agency_code_evidence.md SHA-256 3f598d377b062bb08867d94b7eea19c99c94232713fe40e520460a484cbe86b7,GB/T 47229.2—2026 A.2.3(a)及表B.3
3009,政务院,—,,GB/T 47277—2026 附录B表B.1
3010,中华人民共和国外交部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3020,中华人民共和国国防部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3030,国家计划委员会,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
3031,国家发展计划委员会,—,出自 GB/T4657—2021 表 B.7,GB/T 47277—2026 附录B表B.1
3032,中华人民共和国国家发展和改革委员会,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3040,国家经济委员会,—,出自 GB/T4657—2021 表 B.5,GB/T 47277—2026 附录B表B.1
3041,国家经济贸易委员会,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
3050,国家经济体制改革委员会,—,出自 GB/T4657—2021 表 B.3,GB/T 47277—2026 附录B表B.1
3060,国家科学技术委员会,—,出自 GB/T4657—2021 表 B.8,GB/T 47277—2026 附录B表B.1
3061,中华人民共和国科学技术部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3070,国防科学技术工业委员会,—,出自 GB/T4657—2021 表 B.2,GB/T 47277—2026 附录B表B.1
3080,中华人民共和国国家民族事务委员会,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3110,监察部,—,出自 GB/T4657—2021 表 B.1,GB/T 47277—2026 附录B表B.1
3120,中华人民共和国公安部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3130,中华人民共和国国家安全部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3140,中华人民共和国民政部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
3150,中华人民共和国司法部,现行,出自 GB/T4657—2021 表3,GB/T 47277—2026 附录B表B.1
